---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les non catégorisés
356 lemmes et 356 formes fléchies de catégorie non catégorisés (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
chevauchons;70195;;;;-;;S @ v o S o~ OU S @ v O/ S o~ ;morphalou2;chevauchons;1021056;-;-;-;-;-;S @ v o S o~ OU S @ v O/ S o~ ;
cloche-pied;70524;;;;-;;k l O S @ p j e;morphalou2;cloche-pied;1021267;-;-;-;-;-;k l O S @ p j e;
contre-biais;70734;;;;-;;k o~ t R @ b j E OU k o~ t R @ b j E/ ;morphalou2;contre-biais;1021401;-;-;-;-;-;k o~ t R @ b j E OU k o~ t R @ b j E/ ;
à contre-biais;70735;;;;-;;a k o~ t R @ b j E OU a k o~ t R @ b j E/ ;morphalou2; à contre-biais;1021402;-;-;-;-;-;a k o~ t R @ b j E OU a k o~ t R @ b j E/ ;
contrebord;70736;;;;-;;k o~ t R @ b O R;morphalou2;contrebord;1021403;-;-;-;-;-;k o~ t R @ b O R;
à contrebord;70737;;;;-;;a k o~ t R @ b O R;morphalou2; à contrebord;1021404;-;-;-;-;-;a k o~ t R @ b O R;
contre-cœur;70745;;;;-;;k o~ t R @ k 9 R;morphalou2;contre-cœur;1021408;-;-;-;-;-;k o~ t R @ k 9 R;
à contre-cœur;70747;;;;-;;a k o~ t R @ k 9 R;morphalou2; à contre-cœur;1021410;-;-;-;-;-;a k o~ t R @ k 9 R;
contre-échange;70752;;;;-;;k o~ t R @ e S a~ Z @ OU k o~ t R @ E/ S a~ Z @ ;morphalou2;contre-échange;1021412;-;-;-;-;-;k o~ t R @ e S a~ Z @ OU k o~ t R @ E/ S a~ Z @ ;
en contre-échange;70753;;;;-;;a~ k o~ t R @ e S a~ Z @ OU a~ k o~ t R @ E/ S a~ Z @ ;morphalou2; en contre-échange;1021413;-;-;-;-;-;a~ k o~ t R @ e S a~ Z @ OU a~ k o~ t R @ E/ S a~ Z @ ;
contre-fil;70769;;;;-;;k o~ t R @ f i l;morphalou2;contre-fil;1021417;-;-;-;-;-;k o~ t R @ f i l;
à contre-fil;70770;;;;-;;a k o~ t R @ f i l;morphalou2; à contre-fil;1021418;-;-;-;-;-;a k o~ t R @ f i l;
contre-gré;70774;;;;-;;k o~ t R @ g R e;morphalou2;contre-gré;1021421;-;-;-;-;-;k o~ t R @ g R e;
à contre-gré;70775;;;;-;;a k o~ t R @ g R e;morphalou2; à contre-gré;1021422;-;-;-;-;-;a k o~ t R @ g R e;
contre-haut;70779;;;;-;;k o~ t R @ o;morphalou2;contre-haut;1021426;-;-;-;-;-;k o~ t R @ o;
en contre-haut;70780;;;;-;;a~ k o~ t R @ o;morphalou2; en contre-haut;1021427;-;-;-;-;-;a~ k o~ t R @ o;
contre-mesure;70793;;;;-;;k o~ t R @ m @ z y R @;morphalou2;contre-mesure;1021429;-;-;-;-;-;k o~ t R @ m @ z y R @;
à contre-mesure;70794;;;;-;;a k o~ t R @ m @ z y R @;morphalou2; à contre-mesure;1021430;-;-;-;-;-;a k o~ t R @ m @ z y R @;
contre-nature;70802;;;;-;;k o~ t R @ n a t y R @;morphalou2;contre-nature;1021436;-;-;-;-;-;k o~ t R @ n a t y R @;
contre-poil;70813;;;;-;;k o~ t R @ p w a l;morphalou2;contre-poil;1021442;-;-;-;-;-;k o~ t R @ p w a l;
à contre-poil;70814;;;;-;;a k o~ t R @ p w a l;morphalou2; à contre-poil;1021443;-;-;-;-;-;a k o~ t R @ p w a l;
contre-saison;70830;;;;-;;k o~ t R @ s E z o~ OU k o~ t R @ s E/ z o~ ;morphalou2;contre-saison;1021448;-;-;-;-;-;k o~ t R @ s E z o~ OU k o~ t R @ s E/ z o~ ;
à contre-saison;70831;;;;-;;a k o~ t R @ s E z o~ OU a k o~ t R @ s E/ z o~ ;morphalou2; à contre-saison;1021449;-;-;-;-;-;a k o~ t R @ s E z o~ OU a k o~ t R @ s E/ z o~ ;
contre-voie;70846;;;;-;;k o~ t R @ v w a;morphalou2;contre-voie;1021456;-;-;-;-;-;k o~ t R @ v w a;
à contre-voie;70847;;;;-;;a k o~ t R @ v w a;morphalou2; à contre-voie;1021457;-;-;-;-;-;a k o~ t R @ v w a;
couci-couci;70952;;;;-;;k u s i k u s i;morphalou2;couci-couci;1021534;-;-;-;-;-;k u s i k u s i;
croque-au-sel;71123;;;;-;;k R O k @ o s E l;morphalou2;croque-au-sel;1021637;-;-;-;-;-;k R O k @ o s E l;
à la croque-au-sel;71124;;;;-;;a l a k R O k o s E l;morphalou2; à la croque-au-sel;1021638;-;-;-;-;-;a l a k R O k o s E l;
croupetons;71131;;;;-;;k R u p @ t o~;morphalou2;croupetons;1021639;-;-;-;-;-;k R u p @ t o~;
à croupetons;71132;;;;-;;a k R u p @ t o~;morphalou2; à croupetons;1021640;-;-;-;-;-;a k R u p @ t o~;
da capo;71470;;;;-;;d a k a p o;morphalou2;da capo;1021861;-;-;-;-;-;d a k a p o;
dare-dare;71486;;;;-;;d a R @ d a R @;morphalou2;dare-dare;1021869;-;-;-;-;-;d a R @ d a R @;
à la daumont;71489;;;;-;;a l a d o m o~ OU a l a d O/ m o~ ;morphalou2; à la daumont;1021872;-;-;-;-;-;a l a d o m o~ OU a l a d O/ m o~ ;
de la;71536;;;;-;;d @ l a;morphalou2; la  de ;1021900;-;-;-;-;-;d @ l a;
demi-bas;71555;;;;-;;d @ m i b a;morphalou2;demi-bas;1021913;-;-;-;-;-;d @ m i b a;
demi-basà;71557;;;;-;;d @ m i b a z a;morphalou2;demi-basà;1021914;-;-;-;-;-;d @ m i b a z a;
demi-hauteur;71600;;;;-;;d @ m i o t 9 R OU d @ m i O/ t 9 R ;morphalou2;demi-hauteur;1021936;-;-;-;-;-;d @ m i o t 9 R OU d @ m i O/ t 9 R ;
à demi-hauteur;71601;;;;-;;a d @ m i o t 9 R OU a d @ m i O/ t 9 R ;morphalou2; à demi-hauteur;1021937;-;-;-;-;-;a d @ m i o t 9 R OU a d @ m i O/ t 9 R ;
demi-mot;71622;;;;-;;d @ m i m o;morphalou2;demi-mot;1021946;-;-;-;-;-;d @ m i m o;
a demi-mot;71624;;;;-;;a d @ m i m o;morphalou2; a demi-mot;1021947;-;-;-;-;-;a d @ m i m o;
demi-sang;71642;;;;-;;d @ m i s a~;morphalou2;demi-sang;1021952;-;-;-;-;-;d @ m i s a~;
demi-voix;71666;;;;-;;d @ m i v w a;morphalou2;demi-voix;1021963;-;-;-;-;-;d @ m i v w a;
à demi-voix;71667;;;;-;;a d @ m i v w a;morphalou2; à demi-voix;1021964;-;-;-;-;-;a d @ m i v w a;
en dépit de;71697;;;;-;;;morphalou2;en dépit de;1021981;-;-;-;-;-;;
de visu;71813;;;;-;;d @ v i z y;morphalou2;de visu;1022035;-;-;-;-;-;d @ v i z y;
divinis;71893;;;;-;;d i v i n i;morphalou2;divinis;1022079;-;-;-;-;-;d i v i n i;
a divinis;71894;;;;-;;a d i v i n i;morphalou2; a divinis;1022080;-;-;-;-;-;a d i v i n i;
eh bien;72124;;;;-;;e b j e~ OU E/ b j e~ ;morphalou2;eh bien;1022191;-;-;-;-;-;e b j e~ OU E/ b j e~ ;
emblée;72221;;;;-;;a~ b l e;morphalou2;emblée;1022243;-;-;-;-;-;a~ b l e;
d'emblée;72222;;;;-;;d a~ b l e;morphalou2; d'emblée;1022244;-;-;-;-;-;d a~ b l e;
encontre;72289;;;;-;;a~ k o~ t R @;morphalou2;encontre;1022294;-;-;-;-;-;a~ k o~ t R @;
à l'encontre;72290;;;;-;;a l a~ k o~ t R @;morphalou2; à l'encontre;1022295;-;-;-;-;-;a l a~ k o~ t R @;
en suspens;72368;;;;-;;a~ s y s p a~;morphalou2;en suspens;1022344;-;-;-;-;-;a~ s y s p a~;
entrefaites;72399;;;;-;;a~ t R @ f E t @;morphalou2;entrefaites;1022366;-;-;-;-;-;a~ t R @ f E t @;
sur ces entrefaites;72400;;;;-;;s y R s e z a~ t R @ f E t @;morphalou2;sur ces entrefaites;1022367;-;-;-;-;-;s y R s e z a~ t R @ f E t @;
entre temps;72411;;;;-;;a~ t R @ t a~;morphalou2;entre temps;1022376;-;-;-;-;-;a~ t R @ t a~;
envi;72422;;;;-;;a~ v i;morphalou2;envi;1022382;-;-;-;-;-;a~ v i;
à l'envi;72423;;;;-;;a l a~ v i;morphalou2; à l'envi;1022383;-;-;-;-;-;a l a~ v i;
espère;72551;;;;-;;E s p E R @;morphalou2;espère;1022445;-;-;-;-;-;E s p E R @;
à l'espère;72552;;;;-;;a l E s p E R @;morphalou2; à l'espère;1022446;-;-;-;-;-;a l E s p E R @;
est-ce que;72565;;;;-;;E s @ k @;morphalou2;est-ce que;1022450;-;-;-;-;-;E s @ k @;
est-ce qui;72566;;;;-;;E s @ k i;morphalou2;est-ce qui;1022451;-;-;-;-;-;E s @ k i;
est-ce qui que;72567;;;;-;;E s @ k i k @;morphalou2;est-ce qui que;1022452;-;-;-;-;-;E s @ k i k @;
et cætera;72580;;;;-;;E t s e t e R a OU E/ t s e t e R a ;morphalou2;et cætera;1022457;-;-;-;-;-;E t s e t e R a OU E/ t s e t e R a ;
et cetera;72581;;;;-;;E t s e t e R a OU E/ s e t e R a ;morphalou2;et cetera;1022458;-;-;-;-;-;E t s e t e R a OU E/ s e t e R a ;
et cœtera;72582;;;;-;;E t s e t @ R a OU E/ t s e t e R a ;morphalou2;et cœtera;1022459;-;-;-;-;-;E t s e t @ R a OU E/ t s e t e R a ;
étouffée;72596;;;;-;;e t u f e;morphalou2;étouffée;1022467;-;-;-;-;-;e t u f e;
à l'étouffée;72597;;;;-;;a l e t u f e OU a l E/ t u f e ;morphalou2; à l'étouffée;1022468;-;-;-;-;-;a l e t u f e OU a l E/ t u f e ;
ex-aequo;72636;;;;-;;E k s e k o OU E k s E/ E/ k o ;morphalou2;ex-aequo;1022488;-;-;-;-;-;E k s e k o OU E k s E/ E/ k o ;
ex cathedra;72638;;;;-;;E k s k a t e d R a OU E k s k a t E/ d R a ;morphalou2;ex cathedra;1022490;-;-;-;-;-;E k s k a t e d R a OU E k s k a t E/ d R a ;
exit;72645;;;;-;;E g z i t;morphalou2;exit;1022492;-;-;-;-;-;E g z i t;
florès;73113;;;;-;;f l o R E s OU f l O/ R E s ;morphalou2;florès;1022745;-;-;-;-;-;f l o R E s OU f l O/ R E s ;
florès faire;73116;;;;-;;f l o R E s f E R @ OU f l O/ R E s f E R @ ;morphalou2;florès faire;1022748;-;-;-;-;-;f l o R E s f E R @ OU f l O/ R E s f E R @ ;
fortiori;73224;;;;-;;f O R s j O R i OU f O R s j O/ R i ;morphalou2;fortiori;1022806;-;-;-;-;-;f O R s j O R i OU f O R s j O/ R i ;
a fortiori;73225;;;;-;;a f O R s j O R i OU a f O R s j O/ R i ;morphalou2; a fortiori;1022807;-;-;-;-;-;a f O R s j O R i OU a f O R s j O/ R i ;
franc-étable;73326;;;;-;;f R a~ e t a b l @ OU f R a~ E/ t a b l @ ;morphalou2;franc-étable;1022861;-;-;-;-;-;f R a~ e t a b l @ OU f R a~ E/ t a b l @ ;
de franc-étable;73327;;;;-;;f R a~ e t a b l @ d @ OU f R a~ E/ t a b l @ d @ ;morphalou2; de franc-étable;1022862;-;-;-;-;-;f R a~ e t a b l @ d @ OU f R a~ E/ t a b l @ d @ ;
franc étrier;73328;;;;-;;f R a~ e t R i j e OU f R a~ E/ t R i j e ;morphalou2;franc étrier;1022863;-;-;-;-;-;f R a~ e t R i j e OU f R a~ E/ t R i j e ;
à franc étrier;73329;;;;-;;a f R a~ e t R i j e OU a f R a~ E/ t R i j e ;morphalou2; à franc étrier;1022864;-;-;-;-;-;a f R a~ e t R i j e OU a f R a~ E/ t R i j e ;
frise-lumière;73434;;;;-;;f R i z @ l y m j E R @;morphalou2;frise-lumière;1022930;-;-;-;-;-;f R i z @ l y m j E R @;
à frise-lumière;73435;;;;-;;a f R i z @ l y m j E R @;morphalou2; à frise-lumière;1022931;-;-;-;-;-;a f R i z @ l y m j E R @;
gille faire;74120;;;;-;;Z i l @ f E R @;morphalou2;gille faire;1023312;-;-;-;-;-;Z i l @ f E R @;
giorno;74130;;;;-;;Z j O R n o;morphalou2;giorno;1023318;-;-;-;-;-;Z j O R n o;
à giorno;74131;;;;-;;a Z j O R n o;morphalou2; à giorno;1023319;-;-;-;-;-;a Z j O R n o;
à gogo;74353;;;;-;;a g O g o OU a g O/ g o ;morphalou2; à gogo;1023448;-;-;-;-;-;a g O g o OU a g O/ g o ;
tout de go;74429;;;;-;;t u d @ g o;morphalou2; tout de go;1023489;-;-;-;-;-;t u d @ g o;
grand-peine;74534;;;;-;;g R a~ p E n @;morphalou2;grand-peine;1023549;-;-;-;-;-;g R a~ p E n @;
à grand-peine;74535;;;;-;;a g R a~ p E n @;morphalou2; à grand-peine;1023550;-;-;-;-;-;a g R a~ p E n @;
grèver de la faim;74668;;;;-;;g R E v e d @ l a f e~;morphalou2;grèver de la faim;1023615;-;-;-;-;-;g R E v e d @ l a f e~;
guéau _;74792;;;;-;;;morphalou2;guéau _;1023692;-;-;-;-;-;;
de guingois;74849;;;;-;;g e~ g w a d @;morphalou2; de guingois;1023728;-;-;-;-;-;g e~ g w a d @;
haut-le-pied;75040;;;;-;;o l @ p j e;morphalou2;haut-le-pied;1023832;-;-;-;-;-;o l @ p j e;
heu;75339;;;;-;;2;morphalou2;heu;1023977;-;-;-;-;-;2;
hic et nunc;75371;;;;-;;i k E t n u n k OU i k E/ t n u n k ;morphalou2;hic et nunc;1023993;-;-;-;-;-;i k E t n u n k OU i k E/ t n u n k ;
hironde;75427;;;;-;;i R o~ d @;morphalou2;hironde;1024028;-;-;-;-;-;i R o~ d @;
d'hironde queue;75429;;;;-;;d i R o~ d k 2;morphalou2; d'hironde queue;1024029;-;-;-;-;-;d i R o~ d k 2;
