---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Interjection
422 lemmes et 422 formes fléchies de catégorie Interjection (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
ouille;44581;Interjection;;;-;;u j @;morphalou2 dela;ouille;344610;-;-;-;-;-;u j @;morphalou2 dela
oust;44611;Interjection;;;-;;u s t;morphalou2 dela dicollecte;oust;344823;-;-;-;-;-;u s t;morphalou2 dela dicollecte
ouste;44613;Interjection;;;-;"variante du lemme #44611 ""oust""";u s t @;morphalou2 dela dicollecte;ouste;344828;-;-;-;-;-;u s t @;morphalou2 dela dicollecte
palsambleu;45023;Interjection;;;-;;p a l s a~ b l 2;morphalou2 dela dicollecte;palsambleu;347846;-;-;-;-;-;p a l s a~ b l 2;morphalou2 dela dicollecte
parbleu;45482;Interjection;;;-;;p a R b l 2;morphalou2 dela dicollecte lefff;parbleu;350578;-;-;-;-;-;p a R b l 2;morphalou2 dela dicollecte lefff
pardi;45509;Interjection;;;-;;p a R d i;morphalou2 dela dicollecte;pardi;350834;-;-;-;-;-;p a R d i;morphalou2 dela dicollecte
pardieu;45510;Interjection;;;-;;p a R d j 2;morphalou2 dela dicollecte;pardieu;350835;-;-;-;-;-;p a R d j 2;morphalou2 dela dicollecte
patapon;45942;Interjection;onomatopée;;-;;p a t a p o~;morphalou2;patapon;353882;-;-;-;-;-;p a t a p o~;morphalou2
patapouf;45944;Interjection;onomatopée;;-;;p a t a p u f;morphalou2 dela;patapouf;353885;-;-;-;-;-;p a t a p u f;morphalou2 dela
patata;45954;Interjection;onomatopée;;-;;p a t a t a;morphalou2;patata;353904;-;-;-;-;-;p a t a t a;morphalou2
patati;45956;Interjection;onomatopée;;-;;p a t a t i;morphalou2;patati;353907;-;-;-;-;-;p a t a t i;morphalou2
patatras;45957;Interjection;;;-;;p a t a t R a;morphalou2 dela dicollecte;patatras;353908;-;-;-;-;-;p a t a t R a;morphalou2 dela dicollecte
pechère;46197;Interjection;;;-;;p @ S E R @;morphalou2 dela;pechère;355674;-;-;-;-;-;p @ S E R @;morphalou2 dela
peuchère;46727;Interjection;;;-;;p 2 S E R @ OU p 6 S E R @ ;morphalou2 dela dicollecte;peuchère;359774;-;-;-;-;-;p 2 S E R @ OU p 6 S E R @ ;morphalou2 dela dicollecte
peuh;46729;Interjection;;;-;;p 2;morphalou2 dela dicollecte;peuh;359777;-;-;-;-;-;p 2;morphalou2 dela dicollecte
pft;46749;Interjection;onomatopée;;-;;p f t;morphalou2;pft;359870;-;-;-;-;-;p f t;morphalou2
pfui;46750;Interjection;onomatopée;;-;;p f H i;morphalou2;pfui;359871;-;-;-;-;-;p f H i;morphalou2
pfuit;46751;Interjection;onomatopée;;-;"variante du lemme #46750 ""pfui""";p f H i;morphalou2;pfuit;359874;-;-;-;-;-;p f H i;morphalou2
pfut;46752;Interjection;onomatopée;;-;;p f y t;morphalou2 dela dicollecte;pfut;359875;-;-;-;-;-;p f y t;morphalou2 dela dicollecte
pfutt;46753;Interjection;onomatopée;;-;"variante du lemme #46752 ""pfut""";p f y t;morphalou2;pfutt;359878;-;-;-;-;-;p f y t;morphalou2
play;47869;Interjection;;;-;;p l E OU p l E/ ;morphalou2;play;366673;-;-;-;-;-;p l E OU p l E/ ;morphalou2
ploc;47945;Interjection;onomatopée;;-;;p l O k;morphalou2 dela dicollecte;ploc;367209;-;-;-;-;-;p l O k;morphalou2 dela dicollecte
plouf;47978;Interjection;;;-;;p l u f;morphalou2 dela dicollecte;plouf;367435;-;-;-;-;-;p l u f;morphalou2 dela dicollecte
pouah;48816;Interjection;;;-;;p u a;morphalou2 dela dicollecte lefff;pouah;372702;-;-;-;-;-;p u a;morphalou2 dela dicollecte lefff
pouh;48841;Interjection;;;-;;p u;morphalou2;pouh;372901;-;-;-;-;-;p u;morphalou2
poum;48877;Interjection;onomatopée;;-;;p u m;morphalou2;poum;373077;-;-;-;-;-;p u m;morphalou2
prout;49699;Interjection;onomatopée;;-;;p R u t;morphalou2;prout;378590;-;-;-;-;-;p R u t;morphalou2
pschit;50218;Interjection;;;-;;p S i t;morphalou2;pschit;382965;-;-;-;-;-;p S i t;morphalou2
pschitt;50219;Interjection;;;-;"variante du lemme #50218 ""pschit""";p S i t;morphalou2 dicollecte;pschitt;382968;-;-;-;-;-;p S i t;morphalou2 dicollecte
