---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Adverbes
4 157 lemmes et 4 167 formes fléchies de catégorie Adverbes (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
aléatoirement;3422;Adverbe;;;-;;a l e a t w a R @ m a~ OU a l E/ a t w a R @ m a~ ;morphalou2 dela dicollecte lglex;aléatoirement;26271;-;-;-;-;-;a l e a t w a R @ m a~ OU a l E/ a t w a R @ m a~ ;morphalou2 dela dicollecte lglex
amabile;3450;Adverbe;;;-;;a m a b i l e;morphalou2 dela;amabile;26393;-;-;-;-;-;a m a b i l e;morphalou2 dela
ambigument;3557;Adverbe;;;-;;a~ b i g y m a~;morphalou2 dela dicollecte lglex lefff;ambigument;27149;-;-;-;-;-;a~ b i g y m a~;morphalou2 dela dicollecte lglex lefff
ambitieusement;3560;Adverbe;;;-;;a~ b i s j 9 z @ m a~ OU a~ b i s j 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff;ambitieusement;27154;-;-;-;-;-;a~ b i s j 9 z @ m a~ OU a~ b i s j 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff
amiablement;3641;Adverbe;;;-;;a m j a b l @ m a~;morphalou2 dela lglex;amiablement;27943;-;-;-;-;-;a m j a b l @ m a~;morphalou2 dela lglex
amicalement;3654;Adverbe;;;-;;a m i k a l @ m a~;morphalou2 dela dicollecte lglex lefff;amicalement;28023;-;-;-;-;-;a m i k a l @ m a~;morphalou2 dela dicollecte lglex lefff
amiteusement;3695;Adverbe;;;-;;a m i t 9 z @ m a~ OU a m i t 6 z @ m a~ ;morphalou2 dela lglex;amiteusement;28560;-;-;-;-;-;a m i t 9 z @ m a~ OU a m i t 6 z @ m a~ ;morphalou2 dela lglex
amoroso;3789;Adverbe;;;-;;a m O R O z o OU a m O/ R O/ z o ;morphalou2 dela dicollecte lefff;amoroso;29148;-;-;-;-;-;a m O R O z o OU a m O/ R O/ z o ;morphalou2 dela dicollecte lefff
amoureusement;3817;Adverbe;;;-;;a m u R 9 z @ m a~ OU a m u R 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff;amoureusement;29363;-;-;-;-;-;a m u R 9 z @ m a~ OU a m u R 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff
amphibologiquement;3834;Adverbe;;;-;;a~ f i b O l O Z i k @ m a~ OU a~ f i b O/ l O/ Z i k @ m a~ ;morphalou2 dela dicollecte lglex;amphibologiquement;29412;-;-;-;-;-;a~ f i b O l O Z i k @ m a~ OU a~ f i b O/ l O/ Z i k @ m a~ ;morphalou2 dela dicollecte lglex
amplement;3860;Adverbe;;;-;;a~ p l @ m a~;morphalou2 dela dicollecte lglex lefff;amplement;29481;-;-;-;-;-;a~ p l @ m a~;morphalou2 dela dicollecte lglex lefff
ampoulément;3884;Adverbe;;;-;;a~ p u l e m a~ OU a~ p u l E/ m a~ ;morphalou2;ampoulément;29642;-;-;-;-;-;a~ p u l e m a~ OU a~ p u l E/ m a~ ;morphalou2
amusamment;3905;Adverbe;;;-;;a m y z a m a~;morphalou2 dela lglex;amusamment;29795;-;-;-;-;-;a m y z a m a~;morphalou2 dela lglex
amènement;3936;Adverbe;;;-;;a m E n @ m a~ OU a m E/ n @ m a~ ;morphalou2 dela lglex;amènement;29967;-;-;-;-;-;a m E n @ m a~ OU a m E/ n @ m a~ ;morphalou2 dela lglex
amèrement;3937;Adverbe;;;-;;a m E R @ m a~ OU a m E/ R @ m a~ ;morphalou2 dela dicollecte lglex lefff;amèrement;29968;-;-;-;-;-;a m E R @ m a~ OU a m E/ R @ m a~ ;morphalou2 dela dicollecte lglex lefff
anachroniquement;3999;Adverbe;;;-;;a n a k R O n i k @ m a~ OU a n a k R O/ n i k @ m a~ ;morphalou2 dela dicollecte lglex;anachroniquement;30270;-;-;-;-;-;a n a k R O n i k @ m a~ OU a n a k R O/ n i k @ m a~ ;morphalou2 dela dicollecte lglex
analogiquement;4055;Adverbe;;;-;;a n a l O Z i k @ m a~ OU a n a l O/ Z i k @ m a~ ;morphalou2 dela dicollecte lglex lefff;analogiquement;30511;-;-;-;-;-;a n a l O Z i k @ m a~ OU a n a l O/ Z i k @ m a~ ;morphalou2 dela dicollecte lglex lefff
analytiquement;4073;Adverbe;;;-;;a n a l i t i k @ m a~;morphalou2 dela dicollecte lglex lefff;analytiquement;30605;-;-;-;-;-;a n a l i t i k @ m a~;morphalou2 dela dicollecte lglex lefff
anarchiquement;4106;Adverbe;;;-;;a n a R S i k @ m a~;morphalou2 dela dicollecte lglex lefff;anarchiquement;30739;-;-;-;-;-;a n a R S i k @ m a~;morphalou2 dela dicollecte lglex lefff
anatomiquement;4140;Adverbe;;;-;;a n a t O m i k @ m a~ OU a n a t O/ m i k @ m a~ ;morphalou2 dela dicollecte lglex lefff;anatomiquement;30969;-;-;-;-;-;a n a t O m i k @ m a~ OU a n a t O/ m i k @ m a~ ;morphalou2 dela dicollecte lglex lefff
anciennement;4160;Adverbe;;;-;;a~ s j E n @ m a~ OU a~ s j E/ n @ m a~ ;morphalou2 dela dicollecte lglex lefff;anciennement;31069;-;-;-;-;-;a~ s j E n @ m a~ OU a~ s j E/ n @ m a~ ;morphalou2 dela dicollecte lglex lefff
andante;4182;Adverbe;;;-;;a~ d a~ t @;morphalou2 dela dicollecte lefff;andante;31168;-;-;-;-;-;a~ d a~ t @;morphalou2 dela dicollecte lefff
andantino;4184;Adverbe;;;-;;a~ d a~ t i n o;morphalou2 dela dicollecte lefff;andantino;31172;-;-;-;-;-;a~ d a~ t i n o;morphalou2 dela dicollecte lefff
angulairement;4324;Adverbe;;;-;;a~ g y l E R @ m a~ OU a~ g y l E/ R @ m a~ ;morphalou2 dela dicollecte lglex;angulairement;31815;-;-;-;-;-;a~ g y l E R @ m a~ OU a~ g y l E/ R @ m a~ ;morphalou2 dela dicollecte lglex
anguleusement;4325;Adverbe;;;-;;a~ g y l 9 z @ m a~ OU a~ g y l 6 z @ m a~ ;morphalou2 dela lglex;anguleusement;31816;-;-;-;-;-;a~ g y l 9 z @ m a~ OU a~ g y l 6 z @ m a~ ;morphalou2 dela lglex
